Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7mykoq6R3BArsSpNDjFQTm,"I Really Want to Stay at Your House","Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)","Rosa Walton;Hallie Coggins",2020-12-18,246652,79,false,,2022-09-24T23:03:20Z,"","Lakeshore Records",0.49,0.738,3,-7.399,0,0.0367,0.00237,0.00000458,0.0851,0.126,124.966,4
spotify:track:6cTWJgNkmhATsI6RJgTPH4,"Hold Me Closer - Eurovision Version","Hold Me Closer (Eurovision Version)","Cornelia Jakobs",2022-02-24,180573,41,false,,2022-09-17T23:12:37Z,"","WM Sweden",0.503,0.608,6,-7.277,1,0.0372,0.0995,0,0.26,0.185,96.967,4
spotify:track:0mAgOUcUmplfqf610W5DVU,"Glasgow","SUCKAPUNCH","You Me At Six",2021-01-15,339760,0,false,,2022-09-16T20:31:05Z,"pop punk","Underdog Records",0.53,0.676,7,-4.1,1,0.0285,0.448,0.000106,0.0883,0.234,88.206,4
spotify:track:2D52zjCyqEIQa221lhw6uk,"This Is War","This Is War","Thirty Seconds To Mars",2009-01-01,326983,4,false,,2022-09-07T18:21:58Z,"","Virgin Records",0.402,0.723,6,-5.26,1,0.0579,0.0663,0.000002,0.233,0.224,160.047,4
spotify:track:1Yi8XPnCPoimWwqxwm3uz9,"Longshot","Longshot","Catfish and the Bottlemen",2019-01-08,232960,46,false,,2022-08-25T10:44:24Z,"indie,indie rock","Universal-Island Records Ltd.",0.481,0.765,7,-4.025,1,0.0388,0.00381,0.000737,0.119,0.465,102.829,4
spotify:track:5O9Dz0h08LuBi0aVvDcylh,"The Resistance","Unleashed","Skillet",2016-08-05,232066,77,false,,2022-08-06T17:15:05Z,"christian rock,christian alternative rock,christian","Atlantic Records",0.483,0.941,2,-3.598,0,0.0575,0.000526,0.0000035,0.31,0.503,156.033,4
spotify:track:40bWOGeQYljPPVRQoM8fNk,"Stay With Me","Stay With Me","Seven Billion Dots",2019-11-23,281186,0,false,,2022-07-12T17:33:49Z,"anime,j-rock","Sony Music Labels Inc.",0.533,0.936,9,-4.679,1,0.228,0.25,0,0.406,0.277,135.042,4
spotify:track:6bTCdqB1PN5J93hiiZvQzW,"lit(var)","A Shape of Light ""A Silent Voice the Movie"" Original Soundtrack","kensuke ushio",2016-09-14,134786,53,false,,2022-07-07T04:07:58Z,"anime","PONY CANYON",0.329,0.258,1,-16.147,0,0.0615,0.943,0.934,0.105,0.0338,95.328,5
spotify:track:0fIEsRVRs5nBFpm96KI7y6,"Kataware Doki","Your Name.","RADWIMPS",2016-08-24,167386,0,false,,2022-07-07T04:02:51Z,"anime,j-pop,j-rock","Universal Music Group",0.558,0.142,5,-14.1,1,0.0451,0.964,0.932,0.0937,0.218,129.931,4
spotify:track:1q560AdzSHpXTr9oZWUsgC,"Counter Attack-Mankind - Sasha Version","Attack on Titan: Final Season Tribute","Samuel Kim",2021-03-26,298944,0,false,,2022-07-06T14:57:05Z,"anime","Samuel Kim Music",0.264,0.127,4,-12.629,0,0.0348,0.959,0.931,0.0969,0.0397,72.819,4
